hsa	Homo_sapiens_(human)
ptr	Pan_troglodytes_(chimpanzee)
pps	Pan_paniscus_(bonobo)
ggo	Gorilla_gorilla_gorilla_(western_lowland_gorilla)
pon	Pongo_abelii_(Sumatran_orangutan)
nle	Nomascus_leucogenys_(northern_white-cheeked_gibbon)
mcc	Macaca_mulatta_(rhesus_monkey)
mcf	Macaca_fascicularis_(crab-eating_macaque)
csab	Chlorocebus_sabaeus_(green_monkey)
rro	Rhinopithecus_roxellana_(golden_snub-nosed_monkey)
rbb	Rhinopithecus_bieti_(black_snub-nosed_monkey)
cjc	Callithrix_jacchus_(white-tufted-ear_marmoset)
sbq	Saimiri_boliviensis_boliviensis_(Bolivian_squirrel_monkey)
mmu	Mus_musculus_(mouse)
mcal	Mus_caroli_(Ryukyu_mouse)
mpah	Mus_pahari_(shrew_mouse)
rno	Rattus_norvegicus_(rat)
mun	Meriones_unguiculatus_(Mongolian_gerbil)
cge	Cricetulus_griseus_(Chinese_hamster)
ngi	Nannospalax_galili_(Upper_Galilee_mountains_blind_mole_rat)
hgl	Heterocephalus_glaber_(naked_mole_rat)
ccan	Castor_canadensis_(American_beaver)
ocu	Oryctolagus_cuniculus_(rabbit)
tup	Tupaia_chinensis_(Chinese_tree_shrew)
cfa	Canis_familiaris_(dog)
vvp	Vulpes_vulpes_(red_fox)
aml	Ailuropoda_melanoleuca_(giant_panda)
umr	Ursus_maritimus_(polar_bear)
uah	Ursus_arctos_horribilis
oro	Odobenus_rosmarus_divergens_(Pacific_walrus)
elk	Enhydra_lutris_kenyoni_(northern_sea_otter)
fca	Felis_catus_(domestic_cat)
ptg	Panthera_tigris_altaica_(Amur_tiger)
ppad	Panthera_pardus_(leopard)
aju	Acinonyx_jubatus_(cheetah)
bta	Bos_taurus_(cow)
bom	Bos_mutus_(wild_yak)
biu	Bos_indicus_(zebu_cattle)
bbub	Bubalus_bubalis_(water_buffalo)
chx	Capra_hircus_(goat)
oas	Ovis_aries_(sheep)
ssc	Sus_scrofa_(pig)
cfr	Camelus_ferus_(Wild_Bactrian_camel)
cdk	Camelus_dromedarius_(Arabian_camel)
bacu	Balaenoptera_acutorostrata_scammoni_(minke_whale)
lve	Lipotes_vexillifer_(Yangtze_River_dolphin)
oor	Orcinus_orca_(killer_whale)
dle	Delphinapterus_leucas_(beluga_whale)
pcad	Physeter_catodon_(sperm_whale)
ecb	Equus_caballus_(horse)
epz	Equus_przewalskii_(Przewalski's_horse)
eai	Equus_asinus_(ass)
myb	Myotis_brandtii_(Brandt's_bat)
myd	Myotis_davidii
mna	Miniopterus_natalensis
hai	Hipposideros_armiger_(great_roundleaf_bat)
dro	Desmodus_rotundus_(common_vampire_bat)
pale	Pteropus_alecto_(black_flying_fox)
ray	Rousettus_aegyptiacus_(Egyptian_rousette)
mjv	Manis_javanica_(Malayan_pangolin)
lav	Loxodonta_africana_(African_savanna_elephant)
tmu	Trichechus_manatus_latirostris_(Florida_manatee)
mdo	Monodelphis_domestica_(opossum)
shr	Sarcophilus_harrisii_(Tasmanian_devil)
pcw	Phascolarctos_cinereus_(koala)
oaa	Ornithorhynchus_anatinus_(platypus)
gga	Gallus_gallus_(chicken)
mgp	Meleagris_gallopavo_(turkey)
cjo	Coturnix_japonica_(Japanese_quail)
nmel	Numida_meleagris_(helmeted_guineafowl)
apla	Anas_platyrhynchos_(mallard)
acyg	Anser_cygnoides_domesticus_(swan_goose)
tgu	Taeniopygia_guttata_(zebra_finch)
lsr	Lonchura_striata_domestica_(Bengalese_finch)
scan	Serinus_canaria_(common_canary)
gfr	Geospiza_fortis_(medium_ground-finch)
fab	Ficedula_albicollis_(collared_flycatcher)
phi	Pseudopodoces_humilis_(Tibetan_ground-tit)
pmaj	Parus_major_(Great_Tit)
ccae	Cyanistes_caeruleus_(blue_tit)
ccw	Corvus_cornix_(hooded_crow)
etl	Empidonax_traillii_(willow_flycatcher)
fpg	Falco_peregrinus_(peregrine_falcon)
fch	Falco_cherrug_(Saker_falcon)
clv	Columba_livia_(rock_pigeon)
egz	Egretta_garzetta_(little_egret)
nni	Nipponia_nippon_(crested_ibis)
acun	Athene_cunicularia_(burrowing_owl)
padl	Pygoscelis_adeliae_(Adelie_penguin)
aam	Apteryx_mantelli_mantelli_(brown_kiwi)
asn	Alligator_sinensis_(Chinese_alligator)
amj	Alligator_mississippiensis_(American_alligator)
pss	Pelodiscus_sinensis_(Chinese_soft-shelled_turtle)
cmy	Chelonia_mydas_(green_sea_turtle)
cpic	Chrysemys_picta_(western_painted_turtle)
acs	Anolis_carolinensis_(green_anole)
pvt	Pogona_vitticeps_(central_bearded_dragon)
pbi	Python_bivittatus_(Burmese_python)
pmur	Protobothrops_mucrosquamatus_(Taiwan_habu)
tsr	Thamnophis_sirtalis
pmua	Podarcis_muralis_(common_wall_lizard)
gja	Gekko_japonicus
xla	Xenopus_laevis_(African_clawed_frog)
xtr	Xenopus_tropicalis_(western_clawed_frog)
npr	Nanorana_parkeri
dre	Danio_rerio_(zebrafish)
srx	Sinocyclocheilus_rhinocerous
sanh	Sinocyclocheilus_anshuiensis
sgh	Sinocyclocheilus_grahami
ccar	Cyprinus_carpio_(common_carp)
ipu	Ictalurus_punctatus_(channel_catfish)
phyp	Pangasianodon_hypophthalmus_(striped_catfish)
amex	Astyanax_mexicanus_(Mexican_tetra)
eee	Electrophorus_electricus_(electric_eel)
tru	Takifugu_rubripes_(torafugu)
tng	Tetraodon_nigroviridis_(spotted_green_pufferfish)
lco	Larimichthys_crocea_(large_yellow_croaker)
ncc	Notothenia_coriiceps_(black_rockcod)
mze	Maylandia_zebra_(zebra_mbuna)
onl	Oreochromis_niloticus_(Nile_tilapia)
ola	Oryzias_latipes_(Japanese_medaka)
xma	Xiphophorus_maculatus_(southern_platyfish)
xco	Xiphophorus_couchianus_(Monterrey_platyfish)
pret	Poecilia_reticulata_(guppy)
cvg	Cyprinodon_variegatus_(sheepshead_minnow)
nfu	Nothobranchius_furzeri_(turquoise_killifish)
kmr	Kryptolebias_marmoratus_(mangrove_rivulus)
alim	Austrofundulus_limnaeus_(annual_killifish)
aoce	Amphiprion_ocellaris_(clown_anemonefish)
csem	Cynoglossus_semilaevis_(tongue_sole)
pov	Paralichthys_olivaceus_(Japanese_flounder)
lcf	Lates_calcarifer_(barramundi_perch)
sdu	Seriola_dumerili_(greater_amberjack)
slal	Seriola_lalandi_dorsalis_(Yellowtail_amberjack)
hcq	Hippocampus_comes_(tiger_tail_seahorse)
bpec	Boleophthalmus_pectinirostris_(great_blue-spotted_mudskipper)
malb	Monopterus_albus_(swamp_eel)
sasa	Salmo_salar_(Atlantic_salmon)
otw	Oncorhynchus_tshawytscha_(Chinook_salmon)
salp	Salvelinus_alpinus_(Arctic_char)
els	Esox_lucius_(northern_pike)
sfm	Scleropages_formosus_(Asian_bonytongue)
pki	Paramormyrops_kingsleyae
lcm	Latimeria_chalumnae_(coelacanth)
cmk	Callorhinchus_milii_(elephant_shark)
rtp	Rhincodon_typus_(whale_shark)
bfo	Branchiostoma_floridae_(Florida_lancelet)
cin	Ciona_intestinalis_(sea_squirt)
spu	Strongylocentrotus_purpuratus_(purple_sea_urchin)
aplc	Acanthaster_planci_(crown-of-thorns_starfish)
